ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15148984,"3,500,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Güneştepe Mahallesi Satılık Daire,138 M2,3+1,0 (Yeni),3,1.Kat,Yerden Isıtma,Krediye Uygun
15148991,"3,550,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Balkan Mahallesi Satılık Daire,190 M2,3+1,0 (Yeni),6,1.Kat,Kombi Doğalgaz,Krediye Uygun
15148982,"3,750,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Kızılcıklı Mahallesi Satılık Daire,190 M2,3+1,0 (Yeni),5,4.Kat,Kombi Doğalgaz,Krediye Uygun
15148983,"2,075,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Çırpan Mahallesi Satılık Daire,90 M2,2+1,21 Ve Üzeri,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
15149620,"1,050,000",Bursa Satılık Daire,Gemlik Satılık Daire,Halitpaşa Mahallesi Satılık Daire,120 M2,2+1,21 Ve Üzeri,5,5.Kat,Kombi Doğalgaz,Krediye Uygun
15150538,"2,140,000",Bursa Satılık Daire,Gürsu Satılık Daire,Kurtuluş Mahallesi Satılık Daire,110 M2,2+1,4,3,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15153442,"2,500,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Adalet Mahallesi Satılık Daire,90 M2,2+1,0 (Yeni),3,1.Kat,Yerden Isıtma,Krediye Uygun Değil
15153438,"2,400,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Güneştepe Mahallesi Satılık Daire,141 M2,3+1,5-10,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15157765,"1,100,000",Bursa Satılık Daire,Gemlik Satılık Daire,Eşref Dinçer Mahallesi Satılık Daire,120 M2,2+1,21 Ve Üzeri,5,5.Kat,Kombi Doğalgaz,Krediye Uygun
15155022,"850,000",Bursa Satılık Daire,Gemlik Satılık Daire,Eşref Dinçer Mahallesi Satılık Daire,125 M2,3+1,21 Ve Üzeri,5,1.Kat,Sobalı,Krediye Uygun
15159216,"2,000,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Ulu Mahallesi Satılık Daire,114 M2,2+1,21 Ve Üzeri,5,3.Kat,Kombi Doğalgaz,Krediye Uygun
15150307,"3,350,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Hüdavendigar Mahallesi Satılık Daire,125 M2,2+1,16-20,5,3.Kat,Kombi Doğalgaz,Krediye Uygun
15155441,"1,800,000",Bursa Satılık Daire,Gemlik Satılık Daire,Kumla Mahallesi Satılık Daire,110 M2,2+1,5-10,5,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
15159679,"2,260,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Bağlarbaşı Mahallesi Satılık Daire,125 M2,3+1,11-15,4,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15145019,"2,550,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Dumlupınar Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),6,3.Kat,Yerden Isıtma,Krediye Uygun
15159684,"4,750,000",Bursa Satılık Daire,Nilüfer Satılık Daire,İhsaniye Mahallesi Satılık Daire,175 M2,3+1,0 (Yeni),9,9.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15159687,"6,500,000",Bursa Satılık Daire,Yıldırım Satılık Daire,Akçağlayan Mahallesi Satılık Daire,168 M2,3+1,5-10,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
15160288,"4,500,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Yunuseli Mahallesi Satılık Daire,160 M2,3+1,5-10,11,8.Kat,Merkezi (Pay Ölçer),Krediye Uygun
15159213,"13,000,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Yüzüncüyıl Mahallesi Satılık Daire,280 M2,4+1,16-20,17,10.Kat,Merkezi (Pay Ölçer),Krediye Uygun
15160294,"3,250,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Görükle Mahallesi Satılık Daire,115 M2,3+1,5-10,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
15159685,"7,350,000",Bursa Satılık Daire,Mudanya Satılık Daire,Yeni Mahallesi Satılık Daire,210 M2,3+1,0 (Yeni),4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15161219,"3,100,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Doburca Mahallesi Satılık Daire,170 M2,3+1,16-20,5,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15160802,"2,300,000",Bursa Satılık Daire,Karacabey Satılık Daire,Gazi Mahallesi Satılık Daire,120 M2,2+1,0 (Yeni),4,1.Kat,Yerden Isıtma,Krediye Uygun
15161170,"2,950,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Akçalar Mahallesi Satılık Daire,150 M2,3+1,0 (Yeni),5,Düz Giriş (Zemin),Yerden Isıtma,Krediye Uygun
15160297,"4,805,000",Bursa Satılık Daire,İnegöl Satılık Daire,Ertuğrulgazi Mahallesi Satılık Daire,155 M2,3.5+1,0 (Yeni),3,1.Kat,Yerden Isıtma,Krediye Uygun
15160291,"3,615,000",Bursa Satılık Daire,Nilüfer Satılık Daire,30 Ağustos Zafer Mahallesi Satılık Daire,150 M2,3+1,2,6,5.Kat,Kombi Doğalgaz,Krediye Uygun
15167244,"2,540,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Çalı Mahallesi Satılık Daire,135 M2,2+1,5-10,4,1.Kat,Kombi Doğalgaz,Krediye Uygun
15167979,"2,750,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Görükle Mahallesi Satılık Daire,145 M2,4+1,5-10,5,5.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15159676,"4,900,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Barış Mahallesi Satılık Daire,135 M2,3+1,4,10,2.Kat,Merkezi (Pay Ölçer),Krediye Uygun
15167243,"4,500,000",Bursa Satılık Daire,Mudanya Satılık Daire,Güzelyalı Eğitim Mahallesi Satılık Daire,180 M2,3+1,11-15,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
15167899,"4,150,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Beşevler Mahallesi Satılık Daire,195 M2,4+1,11-15,4,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun
15170752,"2,350,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Dumlupınar Mahallesi Satılık Daire,70 M2,2+1,0 (Yeni),6,3.Kat,Yerden Isıtma,Krediye Uygun
15159680,"4,250,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Ovaakça Çeşmebaşı Mahallesi Satılık Daire,280 M2,6+1,0 (Yeni),5,5.Kat,Yerden Isıtma,Krediye Uygun Değil
15170756,"1,850,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Dumlupınar Mahallesi Satılık Daire,75 M2,2+1,0 (Yeni),6,4.Kat,Yerden Isıtma,Krediye Uygun
15167984,"1,439,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Görükle Mahallesi Satılık Daire,75 M2,2+1,5-10,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
15170759,"3,749,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Demirci Mahallesi Satılık Daire,135 M2,3+1,5-10,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15170764,"1,699,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Görükle Mahallesi Satılık Daire,70 M2,2+1,1,7,3.Kat,Kombi Doğalgaz,Krediye Uygun
15170772,"1,550,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Dumlupınar Mahallesi Satılık Daire,60 M2,1+1,4,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
15167866,"1,875,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Görükle Mahallesi Satılık Daire,100 M2,2+1,4,5,5.Kat,Kombi Doğalgaz,Krediye Uygun
15170781,"2,229,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Dumlupınar Mahallesi Satılık Daire,81 M2,2+1,0 (Yeni),5,1.Kat,Yerden Isıtma,Krediye Uygun
15170827,"1,789,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Dumlupınar Mahallesi Satılık Daire,60 M2,2+1,0 (Yeni),4,1.Kat,Yerden Isıtma,Krediye Uygun
15170766,"1,599,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Dumlupınar Mahallesi Satılık Daire,75 M2,1+1,5-10,5,5.Kat,Kombi Doğalgaz,Krediye Uygun
15170832,"2,000,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Dumlupınar Mahallesi Satılık Daire,65 M2,1+1,3,5,3.Kat,Yerden Isıtma,Krediye Uygun
15170835,"1,229,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Görükle Mahallesi Satılık Daire,60 M2,1+1,5-10,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
