ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Number of bathroom,Age of Structure,Number of floors,Heating,Credi Accepting
275309,33250000,Muğla,Bodrum,Gümüşlük Mah.,,5+1,,Evet,2,,Boş
278080,35750000.0,İstanbul,Büyükçekmece,Celaliye Mah.,368,7+1,3,İnşaat Halinde,3,Doğalgaz (Kombi),Evet
276288,6450000,Bursa,Osmangazi,Geçit Mah.,250,4+1,3,5-10 Arası,5,Doğalgaz (Kombi),Evet
280206,11375000.0,İstanbul,Beylikdüzü,Adnan Kahveci Mah.,190,4+2,2,1 Yaşından Küçük,7,Doğalgaz (Kombi),
282061,2600000,Antalya,Kepez,Varsak Karşıyaka Mah.,117,3+1,2,11-15 Arası,3,Klima,Evet
278825,14625000.0,Ankara,Sincan,Menderes Mah.,500,10 ve üzeri,,1 Yaşından Küçük,3,Doğalgaz (Kombi),Evet
267917,4200000,Antalya,Kepez,Kültür Mah.,90,2+1,1,11-15 Arası,3,Klima,Evet
268045,8300000,Antalya,Kumluca,Mavikent Mah.,244,6+1,3,5-10 Arası,3,Klima,Evet
274994,6000000,Antalya,Muratpaşa,Meltem Mah.,140,3+1,1,26-30 Arası,12,Doğalgaz (Kombi),Evet
274595,5600000,İstanbul,Şişli,Mecidiyeköy Mah.,118,3+1,2,30+,5,Doğalgaz (Kombi),Evet
269475,3150000,İstanbul,Pendik,Çınardere Mah.,68,2+1,1,5-10 Arası,4,Doğalgaz (Kombi),Evet
274597,16000000,İstanbul,Beylikdüzü,Gürpınar Mah.,250,5+1,2,21-25 Arası,4,Doğalgaz (Kombi),Evet
269644,8347500,İstanbul,Şile,Balibey Mah.,120,3+1,2,3,2,Yerden Isıtma,Evet
271413,9200000,Çanakkale,Ezine,Karadağ Köyü,190,4+1,4,Sıfır,2,Isı Pompası,Evet
271748,4300000,İstanbul,Çatalca,Çakıl Mah.,102,2+1,1,1 Yaşından Küçük,1,Yok,Hayır
271336,4550.0,İzmir,Torbalı,Ertuğrul Mah.,199,3+1,2,5-10 Arası,5,Doğalgaz (Kombi),Evet
280700,6250000,Mersin,Erdemli,Kargıpınarı Mah.,150,3+1,2,16-20 Arası,2,Klima,Evet
269126,8937500.0,İstanbul,Şişli,Bozkurt Mah.,95,2+1,1,26-30 Arası,1,Doğalgaz (Kombi),Evet
269759,780000.0,Antalya,Manavgat,Düzağaç Mah.,55.54,1+1,,30+,2,Yok,Hayır
273211,24700000.0,Balıkesir,Marmara,Avşa Mah.,400,10 ve üzeri,6,5-10 Arası,1,Klima,Bilinmiyor
258839,11000000,İstanbul,Beşiktaş,Yıldız Mah.,110 m2,2+1,2,5-10 Arası,5,Doğalgaz (Kombi),Evet
273646,7000000,İstanbul,Fatih,Haseki Sultan Mah.,165,5+1,2,26-30 Arası,4,Doğalgaz (Kombi),Evet
259763,6000000,İstanbul,Zeytinburnu,Yenidoğan Mah.,75,2+1,1,30+,5,Soba,Evet
262262,4875000.0,İstanbul,Ümraniye,Armağan Evler Mah.,85,2+1,2,4,5,Doğalgaz (Kombi),Evet
259765,7000000,Antalya,Alanya,Cikcilli Mah.,125,2+1,2,11-15 Arası,3,Klima,Evet
263141,5000000,Bursa,İznik,Dereköy Mah.,105,2+1,1,2,2,Klima,Bilinmiyor
