ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
14983326,"1,075,000",Konya Satılık Daire,Meram Satılık Daire,Gödene Mahallesi Satılık Daire,73 M2,1+1,5-10,4,4.Kat,Kombi Doğalgaz,Bilinmiyor
14987998,"3,450,000",Konya Satılık Daire,Selçuklu Satılık Daire,Kosova Mahallesi Satılık Daire,115 M2,2+1,0 (Yeni),2,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil
14968539,"4,250,000,000",Konya Satılık Daire,Selçuklu Satılık Daire,Akşemsettin Mahallesi Satılık Daire,160 M2,3+1,0 (Yeni),8,Yüksek Giriş,Yerden Isıtma,Krediye Uygun
14983617,"2,665,000",Konya Satılık Daire,Beyşehir Satılık Daire,Yeni Mahallesi Satılık Daire,165 M2,3+1,0 (Yeni),4,3.Kat,Kombi Doğalgaz,Krediye Uygun
14968493,"4,500,000",Konya Satılık Daire,Selçuklu Satılık Daire,Dumlupınar Mahallesi Satılık Daire,200 M2,4+1,5-10,2,Bahçe Katı,Sobalı,Krediye Uygun
14967953,"6,750,000",Konya Satılık Daire,Selçuklu Satılık Daire,Hacıkaymak Mahallesi Satılık Daire,300 M2,7+1,3,11,10.Kat,Kombi Doğalgaz,Bilinmiyor
14968615,"6,250,000",Konya Satılık Daire,Meram Satılık Daire,Alavardı Mahallesi Satılık Daire,250 M2,5+1,0 (Yeni),13,6.Kat,Yerden Isıtma,Krediye Uygun Değil
14968543,"1,898,000",Konya Satılık Daire,Karatay Satılık Daire,Karakulak Mahallesi Satılık Daire,130 M2,2+1,0 (Yeni),6,Yüksek Giriş,Yerden Isıtma,Krediye Uygun
14968617,"2,650,000",Konya Satılık Daire,Selçuklu Satılık Daire,Selçuk Mahallesi Satılık Daire,165 M2,3+1,0 (Yeni),16,12.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil
14985396,"2,350,000",Konya Satılık Daire,Selçuklu Satılık Daire,Kosova Mahallesi Satılık Daire,110 M2,2+1,5-10,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
14970647,"3,000,000",Konya Satılık Daire,Ereğli Satılık Daire,Hıdırlı Mahallesi Satılık Daire,155 M2,3+1,5-10,6,2.Kat,Kombi Doğalgaz,Krediye Uygun
14969395,"1,350,000",Konya Satılık Daire,Karatay Satılık Daire,Şemsitebrizi Mahallesi Satılık Daire,150 M2,3+1,21 Ve Üzeri,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
14984404,"2,950,000",Konya Satılık Daire,Selçuklu Satılık Daire,Kosova Mahallesi Satılık Daire,220 M2,4+1,2,9,9.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil
14971195,"1,000,000",Konya Satılık Daire,Karatay Satılık Daire,Nakipoğlu Mahallesi Satılık Daire,100 M2,2+1,21 Ve Üzeri,5,Yüksek Giriş,Sobalı,Krediye Uygun
14971273,"2,900,000",Konya Satılık Daire,Selçuklu Satılık Daire,Parsana Mahallesi Satılık Daire,125 M2,2+1,0 (Yeni),3,Yüksek Giriş,Yerden Isıtma,Krediye Uygun
14970965,"3,500,000",Konya Satılık Daire,Karatay Satılık Daire,Büyük Sinan Mahallesi Satılık Daire,170 M2,3+1,0 (Yeni),6,6.Kat,Yerden Isıtma,Krediye Uygun
14971093,"2,550,000",Konya Satılık Daire,Karatay Satılık Daire,Karakulak Mahallesi Satılık Daire,165 M2,3+1,4,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
14970304,"3,258,000",Konya Satılık Daire,Karatay Satılık Daire,Akabe Mahallesi Satılık Daire,130 M2,2+1,0 (Yeni),5,Yüksek Giriş,Merkezi Doğalgaz,Krediye Uygun
