ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15138065,"3,150,000",Antalya Satılık Daire,Kepez Satılık Daire,Yeni Doğan Mahallesi Satılık Daire,150 M2,3+1,16-20,11,6.Kat,Kombi Doğalgaz,Krediye Uygun
15138080,"1,938,000",Antalya Satılık Daire,Kepez Satılık Daire,Erenköy Mahallesi Satılık Daire,90 M2,2+1,2,3,Yüksek Giriş,Klimalı,Krediye Uygun
15135775,"1,750,000",Antalya Satılık Daire,Kepez Satılık Daire,Aydoğmuş Mahallesi Satılık Daire,90 M2,2+1,4,4,Yüksek Giriş,Klimalı,Krediye Uygun
15138180,"5,250,000",Antalya Satılık Daire,Alanya Satılık Daire,Çıplaklı Mahallesi Satılık Daire,100 M2,2+1,2,5,4.Kat,Klimalı,Krediye Uygun
15138301,"2,500,000",Antalya Satılık Daire,Serik Satılık Daire,Akçaalan Mahallesi Satılık Daire,105 M2,2+1,0 (Yeni),6,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15138196,"4,100,000",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,115 M2,2+1,16-20,5,3.Kat,Klimalı,Krediye Uygun
15138641,"2,300,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Memurevleri Mahallesi Satılık Daire,140 M2,3+1,21 Ve Üzeri,5,1.Kat,Isıtma Yok,Krediye Uygun
15138488,"3,474,000",Antalya Satılık Daire,Alanya Satılık Daire,Kestel Mahallesi Satılık Daire,53 M2,1+1,0 (Yeni),4,3.Kat,Klimalı,Bilinmiyor
15138320,"3,300,000",Antalya Satılık Daire,Alanya Satılık Daire,Kestel Mahallesi Satılık Daire,53 M2,1+1,0 (Yeni),4,2.Kat,Klimalı,Bilinmiyor
15138559,"7,350,000",Antalya Satılık Daire,Alanya Satılık Daire,Büyükhasbahçe Mahallesi Satılık Daire,210 M2,3+1,1,3,Bahçe Dublex,Klimalı,Bilinmiyor
15138359,"1,925,000",Antalya Satılık Daire,Kepez Satılık Daire,Gazi Mahallesi Satılık Daire,60 M2,1+1,0 (Yeni),3,2.Kat,Isıtma Yok,Krediye Uygun
15137956,"11,650,000",Antalya Satılık Daire,Alanya Satılık Daire,Oba Mahallesi Satılık Daire,175 M2,3+1,0 (Yeni),4,4.Kat,Klimalı,Bilinmiyor
15139780,"2,400,000",Antalya Satılık Daire,Alanya Satılık Daire,Avsallar Mahallesi Satılık Daire,65 M2,1+1,0 (Yeni),5,3.Kat,Klimalı,Krediye Uygun
15138662,"7,000,000",Antalya Satılık Daire,Alanya Satılık Daire,Tepe Mahallesi Satılık Daire,95 M2,2+1,11-15,2,Bahçe Dublex,Klimalı,Krediye Uygun
15139674,"7,200,000",Antalya Satılık Daire,Konyaaltı Satılık Daire,Sarısu Mahallesi Satılık Daire,183 M2,3+1,5-10,11,5.Kat,Klimalı,Krediye Uygun
15139821,"3,500,000",Antalya Satılık Daire,Kepez Satılık Daire,Mehmet Akif Ersoy Mahallesi Satılık Daire,130 M2,3+1,0 (Yeni),3,1.Kat,Klimalı,Krediye Uygun
15139960,"2,250,000",Antalya Satılık Daire,Döşemealtı Satılık Daire,Yeniköy Mahallesi Satılık Daire,65 M2,2+1,0 (Yeni),3,Yüksek Giriş,Klimalı,Krediye Uygun
15138078,"3,100,000",Antalya Satılık Daire,Kepez Satılık Daire,Erenköy Mahallesi Satılık Daire,170 M2,4+1,11-15,4,4.Kat,Klimalı,Krediye Uygun
15139924,"15,000,000",Antalya Satılık Daire,Konyaaltı Satılık Daire,Uncalı Mahallesi Satılık Daire,300 M2,5+1,5-10,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15140104,"3,500,000",Antalya Satılık Daire,Döşemealtı Satılık Daire,Yeniköy Mahallesi Satılık Daire,95 M2,2+1,0 (Yeni),3,1.Kat,Klimalı,Krediye Uygun
15139837,"2,250,000",Antalya Satılık Daire,Alanya Satılık Daire,Avsallar Mahallesi Satılık Daire,55 M2,1+1,0 (Yeni),7,1.Kat,Klimalı,Krediye Uygun
15140813,"2,899,000",Antalya Satılık Daire,Kepez Satılık Daire,Düdenbaşı Mahallesi Satılık Daire,200 M2,5+1,5-10,3,3.Kat,Klimalı,Krediye Uygun Değil
15140771,"2,250,000",Antalya Satılık Daire,Döşemealtı Satılık Daire,Yeniköy Mahallesi Satılık Daire,61 M2,1+1,0 (Yeni),2,2.Kat,Klimalı,Krediye Uygun
15140796,"1,975,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,85 M2,1+1,5-10,3,Yüksek Giriş,Klimalı,Krediye Uygun
