ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
,,,,,,,,,,,
15156274,"1,850,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Mehterçeşme Mahallesi Satılık Daire,110 M2,2+1,5-10,4,1.Kat,Kombi Doğalgaz,Bilinmiyor
15156834,"2,175,000",İstanbul Satılık Daire,Arnavutköy Satılık Daire,Anadolu Mahallesi Satılık Daire,98 M2,2+1,5-10,5,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15162709,"1,045,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,İnönü Mahallesi Satılık Daire,80 M2,1+1,5-10,4,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
15162227,"2,350,000",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Yakuplu Mahallesi Satılık Daire,115 M2,2+1,4,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
15162792,"1,270,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Talatpaşa Mahallesi Satılık Daire,95 M2,2+1,5-10,4,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
15162817,"2,445,000",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Yakuplu Mahallesi Satılık Daire,110 M2,2+1,4,4,1.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15162832,"2,400,000",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Yakuplu Mahallesi Satılık Daire,135 M2,2+1,5-10,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15169570,"1,675,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Yeşilkent Mahallesi Satılık Daire,90 M2,1+1,4,25,20.Kat,Kombi Doğalgaz,Krediye Uygun
15167381,"1,199,999",İstanbul Satılık Daire,Esenyurt Satılık Daire,Yenikent Mahallesi Satılık Daire,150 M2,3+1,0 (Yeni),5,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
15169637,"1,550,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Yeşilkent Mahallesi Satılık Daire,120 M2,2+1,4,23,12.Kat,Kombi Doğalgaz,Bilinmiyor
15169702,"2,350,000",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Yakuplu Mahallesi Satılık Daire,115 M2,2+1,4,5,1.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15169686,"1,765,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Pınar Mahallesi Satılık Daire,105 M2,2+1,4,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
15169663,"2,260,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Mehterçeşme Mahallesi Satılık Daire,110 M2,2+1,4,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
15169730,"1,499,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,İstiklal Mahallesi Satılık Daire,95 M2,2+1,4,4,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15151108,"1,799,999",İstanbul Satılık Daire,Esenyurt Satılık Daire,Yenikent Mahallesi Satılık Daire,120 M2,2+1,0 (Yeni),5,1.Kat,Kombi Doğalgaz,Krediye Uygun
15151074,"970,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Talatpaşa Mahallesi Satılık Daire,120 M2,2+1,0 (Yeni),5,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15169754,"2,200,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Akevler Mahallesi Satılık Daire,120 M2,2+1,5-10,25,21.Kat,Kombi Doğalgaz,Krediye Uygun
15174501,"2,445,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Güzelyurt Mahallesi Satılık Daire,150 M2,3+1,0 (Yeni),4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15137241,"1,360,000",İstanbul Satılık Daire,Küçükçekmece Satılık Daire,İnönü Mahallesi Satılık Daire,90 M2,2+1,21 Ve Üzeri,7,5.Kat,Merkezi Doğalgaz,Krediye Uygun Değil
15137313,"1,160,000",İstanbul Satılık Daire,Küçükçekmece Satılık Daire,İnönü Mahallesi Satılık Daire,80 M2,2+1,21 Ve Üzeri,7,5.Kat,Merkezi Doğalgaz,Krediye Uygun Değil
15137375,"2,999,000",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Adnan Kahveci Mahallesi Satılık Daire,150 M2,2+1,1,4,Villa Tipi,Kombi Doğalgaz,Krediye Uygun
15137636,"5,999,000",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Adnan Kahveci Mahallesi Satılık Daire,200 M2,3+1,0 (Yeni),10,6.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15137427,"2,399,999",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Adnan Kahveci Mahallesi Satılık Daire,80 M2,1+1,0 (Yeni),5,1.Kat,Kombi Doğalgaz,Krediye Uygun
15137493,"6,999,999",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Marmara Mahallesi Satılık Daire,140 M2,3+1,0 (Yeni),5,1.Kat,Kombi Doğalgaz,Krediye Uygun
15137451,"2,999,000",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Kavaklı Mahallesi Satılık Daire,165 M2,4+1,0 (Yeni),4,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15138972,"1,300,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,120 M2,2+1,0 (Yeni),15,5.Kat,Merkezi Doğalgaz,Krediye Uygun
15139021,"3,650,000",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Gürpınar Mahallesi Satılık Daire,145 M2,3+1,1,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15139950,"1,350,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,İncirtepe Mahallesi Satılık Daire,90 M2,2+1,4,4,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15140043,"1,899,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Örnek Mahallesi Satılık Daire,110 M2,2+1,0 (Yeni),6,1.Kat,Kombi Doğalgaz,Krediye Uygun
15141275,"1,850,000",İstanbul Satılık Daire,Küçükçekmece Satılık Daire,Sultan Murat Mahallesi Satılık Daire,100 M2,2+1,21 Ve Üzeri,4,4.Kat,Kombi Doğalgaz,Krediye Uygun Değil
